,qid,query
253,555,Brown bears eating elderberries in Alaska
254,556,April temperatures warmer by 6°F
255,558,species with plasticity
256,559,Evidence climate change diminishes biodiversity in alpine meadows
257,562,Current climate predictions underestimate long-term warming
258,564,Paris Climate Agreement may not be enough to prevent catastrophe
259,565,Scientists studying Earth's past
260,567,as climate change underestimation appears
261,568,"Research reveals large areas of polar ice caps collapsing, Sahara becoming green, and tropical forests turning into fire-dominated savannas."
262,575,Global warming causes heatwaves
263,576,Summers are getting hotter.
264,577,Heatwaves intense since 1950s
265,578,extreme heat like last summer's will be normal for my son's adulthood
266,581,extreme heat like last summer's
267,582,"On the Atlantic Ocean, climates are milder due to Gulf Stream"
268,583,"despite gulf stream, summer 2018 hottest on record"
269,586,The temperature exceeded 120°F.
270,590,Ecs estimate 1.5 degrees with probability range 1.05-2.45 degrees
271,591,Climate models sensitive to greenhouse gases
272,593,ecs 2-4 or 5
273,598,If ECS is as low
274,603,Antarctic mass loss worsens
275,609,"Antarctica's mass shrinkage causes sea level rise, affecting US coastlines."
276,614,Rio Grande's feast or famine pattern
277,615,"Warming temperatures due to greenhouse gas emissions making wet years less wet and dry years drier, with year-to-year recovery becoming harder."
278,616,long term warming affects snowmelt runoff in wet times
279,619,Last year's Rio Grande snowpack.
280,620,"Temperatures in the southwest increased by nearly 2°F/1°C from 1901-2010, with forecasts predicting a further 6°F/+3.3°C rise by the end of the century."
281,621,Spring temperatures
282,622,longer warmer growing season affects stream flows
283,623,Walter Munk referred to sea level rise as an enigma
284,625,Sea level rise unaffected by warming
285,626,Tidal gauges measuring data for over a century
286,628,As continents rise after ice melt
287,630,Reduced query: Ice accumulation from ocean water evaporation
288,633,Sea level rise doesn't depend on ocean temperature or CO2.
289,634,sea level data
290,637,"By 2100, sea level rise 6 inches"
291,638,Mr Singer professor emeritus
292,642,"Experts predict 550 ppm by century's end, causing 6°C temperature rise"
293,644,Individual heatwave triggers global warming
294,645,discovered massive unknown source of nitrogen
295,646,Houlton's findings on nitrogen stores and global warming
296,648,nitrogen availability for high carbon uptake scenarios
297,649,Houlton exploring this possibility
298,656,"Arctic carbon bomb, methane"
299,661,Polar bear numbers did not decline by 67% despite expected drop.
300,662,Rather polar bear numbers stable or slightly improved
301,663,Canadian polar bear biologist Ian Stirling
302,665,Ringed and bearded seals thriving in Bering Strait
303,666,Polar bears not starving due to less summer ice.
304,667,Failure of 2007 polar bear survival model explodes myth of polar bears' extinction
305,668,Using satellite data to measure sea levels
306,669,Sea level rise 2 feet
307,676,"more than downsizing a car, being vigilant about lights, quitting showers"
308,677,Which beans are eaten by cows?
309,678,"cattle farming for beef emits greenhouse gases, consumes more calories than it yields, and leads to deforestation."
310,687,heat buildup in oceans causing relentless temperature rise
311,688,Richard Seager's statement on global warming
312,689,heat extremes in arctic
313,692,"Christy said in 1994 Nature article, climate models' CO2 sensitivity was too high."
314,695,Models too sensitive to CO2 increases
315,696,troposphere warming
316,697,few have challenged model validity
317,698,Recent study by Lawrence Livermore National Laboratory finds model overestimation partly due to deficiencies in post-2000 external forcings.
318,699,Volcanic eruptions' timing affected trend
319,701,"Christy says early eruptions pushed down temperatures, exaggerating warming trend."
320,702,Volcanic eruptions' timing affected trend
321,703,Christy says recent eruptions could have caused cooling.
322,705,reconsider policies based on climate model output
323,708,Before human activities
324,710,marine ice cliff instability and sea level rise
325,712,Six foot ocean level rise by end of century
326,716,Pollard and DeConto's model results
327,717,Scientists thought ice sheets slow response to climate change
328,721,"Marine ice sheet instabilities may occur if ice shelf removed, says Cambridge scientist."
329,724,Transition away from fossil fuels
330,728,sea temperature colder than expected due to rapid climate change
331,736,Oxygen in shells remains constant over time
332,737,oxygen isotopes in foraminifera changing
333,739,Changes in oxygen in shells
334,740,revisit ocean paleotemperatures
335,741,Work on other marine organisms to understand sediment changes over geological time.
336,742,Global human emissions 3%
337,745,"Climate change driven by warmer times and increased CO2, leading to biodiversity."
338,749,worldwide temperature record changed
339,752,most expensive electricity in Australia
340,755,who signed the Paris Accord can't change Earth's orbit
341,756,"Australia signed Paris Accord without noticing China, India, Indonesia, US didn't reduce CO2 emissions"
342,757,"Grasslands, forests, and territorial waters of Australia absorb more carbon dioxide than Australia emits"
343,761,Rieber's cautious views on acidification effects
344,762,Indirectly affected by acidification
345,763,benefit from carbon
346,764,global warming
347,765,Broader term
348,768,Greenhouse effect
349,770,CO2 levels increased 43%
350,772,humans pump gas into air faster than nature
351,774,Human emissions of greenhouse gases
352,775,Blocking climate change policies by undermining science
353,776,Climate will gradually warm
354,784,warming climate makes heat waves more frequent and intense
355,785,hurricanes and global warming linkage uncertain
356,787,warming slows to manageable pace with zero human emissions
357,788,Energy transition needs to speed up to head off climate change
358,789,Converting to cleaner sources of energy.
359,791,Clean coal
360,797,models overestimated global warming
361,799,climate models underestimated global warming
362,800,"Report in Nature Geoscience acknowledges most climate models failed to predict warming slowdown, leaving more CO2 budget."
363,802,Actual warming post 2000 smaller than model estimates
364,803,IPCC models underestimated temperature increases during the early 21st-century warming hiatus.
365,805,Record breaking heat
366,806,heat wave in July and August
367,807,human caused warming doubled western US wildfires
368,809,early 20th century governments fought wildfires
369,811,Global warming worsens hurricane Harvey and tropical cyclones
370,812,human contribution to rainfall
371,814,ocean circulation collapsing due to warming planet
372,815,Evidence grows cold Atlantic due to slowed ocean circulation
373,816,Scientists unsure of what lies ahead
374,817,Scientists know about North Atlantic Ocean's anomalous warming hole.
375,818,Carbon dioxide and health
376,819,Climate change
377,820,"Healthy societies can withstand slow, predicted, and relatively small economic adjustments."
378,821,"Societies fall apart due to war, disease, or chaos"
379,822,Climate policy competing with other long-term threats for resources
380,823,Record hottest year without El Niño
381,824,Surprisingly warm 2017 after El Niño
382,826,latest NOAA report climate change not paused
383,828,"climate change wreaks famine, economic collapse and a sun-cooking earth"
384,830,parts of earth becoming uninhabitable
385,832,"Antarctica's ice shelf crack grows 11 miles in 6 days, nears collapse."
386,839,"Even if we meet Paris goals, cities like Karachi & Kolkata may become uninhabitable"
387,840,"Deadly European heat wave of 2003 killing 2,000 people daily at 4°C."
388,846,"Trapped Arctic permafrost contains twice as much carbon as current atmospheric levels, set to release as potent greenhouse gas."
389,847,IPCC reports not fully account for albedo effect
390,849,most notorious mass extinction event 252 million years ago
391,851,"Last time planet was 4 degrees warmer, oceans were hundreds of feet higher."
392,855,"Five degrees warmer planet, 50% more people, 50% less grain"
393,856,"Tropical regions are too hot for efficient grain growth, and current production areas are near optimal temperatures, making small warming lead to declining productivity."
394,859,Southern Europe's extreme drought by 2080
395,861,none of these places
396,862,"In El Salvador's sugarcane region, 1/5th of the population has chronic kidney disease, with over 25% of men affected."
397,863,"Warmer planet leads to increased ozone formation, with a predicted 70% rise in unhealthy ozone smog for Americans by mid-century."
398,864,Carbon dioxide to reach 1000 ppm by 2100
399,868,Researchers found remnants of 1918 flu in Alaska
400,871,Zika disease mutation
401,880,Peer-reviewed study on global average temperature datasets
402,888,mild warming of the planet since mid-19th century
403,889,Solar activity
404,892,who are the cleanest nations on the planet
405,893,America's air cleaner than G7 except Canada
406,896,"Exposure to particulate matter increases risk of acute lower respiratory infection, chronic obstructive pulmonary disease, heart disease, stroke, and lung cancer."
407,897,United States is a pollution-free nation
408,901,CO2 is colorless
409,903,"Growers pump CO2 into greenhouses to produce stronger, greener, healthier plants."
410,904,"CO2 concentration climbed to 7000 ppm in prior eras, currently 400 ppm."
411,905,Some experts defend rising CO2 levels
412,906,carbon dioxide's impact on humanity and the biosphere
413,909,Meeting 2025 emissions reduction target alone
414,910,"cement, iron, steel, and petroleum refining industries' production to be cut"
415,914,Clean Power Plan
416,916,Antarctica's ice sheet disintegrating
417,917,collapse of Antarctica's ice sheet
418,919,airplane emissions risking Antarctica
419,920,Antarctica melting
420,925,"About 120,000 years ago"
421,926,"sea level rise, Greenland and Antarctica"
422,930,"Right now, the Arctic ice shelf..."
423,932,West Antarctic ice sheet raising sea levels
424,935,"Winds strengthening, stirring ocean, bringing up warmer water"
425,938,"Reduced query: Eric Steig, University of Washington, Antarctica temperature trends."
426,939,"Computer forecasts suggest Antarctica breaking up rapidly, ocean rising 6ft+ by end of century"
427,942,Decades too fast or slow
428,945,"Sea level rise by end of century, potentially accelerating in 22nd century"
429,948,Robert Deconto's computer model predicts climate outcomes under sharp emissions reduction.
430,949,Under Antarctica stable
431,952,"Alaskan tundra warming, becoming net CO2 emitter"
432,954,Melting permafrost releases methane
433,956,"Data from NOAA Barrow Alaska station show CO2 emissions from surrounding tundra increased 73% since 1975, supporting Arctic ecosystems as net CO2 source."
434,957,Arctic temperatures below -20C
435,960,global temperature trend shows no further warming
436,962,Arctic sea ice extent in April
437,967,Warming cycles since 900 AD
438,971,Sea ice diminishing fast
439,972,Arctic carbon storage
440,976,pingoes
441,978,extreme weather patterns intensifying
442,979,Recent 5-year drought with driest 4-year period on record
443,982,Climate change causing extreme weather swings?
444,983,dry periods drier wet periods wetter
445,988,unlikely scenarios becoming more probable
446,990,drainage systems and seawalls in South Florida no longer sufficient
447,991,Sea level rise
448,993,rise in sea level at Virginia Key tide gauge
449,994,Says who has authored sea level rise studies
450,995,Jet stream flow strong when temperature difference large
451,996,When Arctic warms up faster
452,997,Scientists debate planet's warming impact on weather
453,1001,Enhanced high latitude warming triggers remote weather impacts
454,1003,Arctic sea ice loss linked to Eurasian winter cooling?
455,1007,"Levels of carbon dioxide in the atmosphere breaking new records, human activities' influence on climate system evident."
456,1009,Arctic ice conditions at record low since October
457,1010,Arctic changes affecting us
458,1011,"melting of Greenland ice sheet contributes to sea level rise, Arctic sea ice affects European Asian and North American weather"
459,1013,Global sea level rise surged between November 2014 and February 2016
460,1014,Final 2016 sea level rise
461,1017,Our children and grandchildren will look back on climate deniers.
462,1019,El Niño weather pattern peaked in 2016
463,1020,The global reef crisis does not necessarily mean extinction for coral species
464,1021,"corals saving themselves by moving towards poles, establishing new reefs"
465,1022,Damaged Great Barrier Reef recovering in 10-15 years
466,1023,"Within a decade, certain branching and plate corals may be extinct."
467,1024,Water vapor accounts for 95% of greenhouse gases.
468,1028,coats of paint have little to no impact after two
469,1034,Odds of correctly guessing outcome of a flipped coin
470,1038,"95^15 = 362,880,375"
471,1040,"While Earth's orbital variations impact radiation levels, and thus global temperatures..."
472,1048,"Widespread record warmth in US, part of long-term trend towards more warm temperature records."
473,1049,nearly 5000 daily record highs vs 42 daily record lows
474,1050,warmest temp in Albany NY Dec-Jan-Feb
475,1052,warmer upper ocean layers prevent mixing with cooler deeper layers
476,1055,Human-driven warming linked to oxygen decline
477,1056,Because oxygen decline
478,1057,moreover ocean contains oxygen minimum zones
479,1061,Warmer oceans destabilizing Greenland and Antarctica glaciers
480,1065,However California's climate has been...
481,1066,Extremely warm dry and wet years becoming more frequent
482,1067,extremely warm years rare
483,1069,less sea ice on earth than ever recorded
484,1073,Arctic summer sea ice decline due to man-made global warming
485,1075,Sea ice at record low levels in Antarctica.
486,1077,"Antarctic ice fluctuations year to year, Walt Meier's view on NASA."
487,1078,Sea ice regulating planet's temperature
488,1079,NASA declares 2016 as warmest year on record.
489,1082,Schmidt argues NOAA and NASA differences are insignificant in a broader context.
490,1083,Trends since 1970s continue
491,1084,"Jonathan Overpeck no doubt about it anymore, humans mainly burning fossil fuels cook planet"
492,1087,Record cold temperatures in stratosphere
493,1088,Ongoing long term warming trend
494,1089,"Last year's warmth was manifested globally, with record-breaking events in Australia's Great Barrier Reef and Arctic sea ice."
495,1090,Extreme high temperatures seen in India and Iran.
496,1092,Mike Wallace's research found no reduction in oceanic pH.
497,1093,Ocean acidification due to CO2 emissions.
498,1097,"Impact of pH lowering on calcification, metabolism, growth, fertility, and survival of calcifying marine species."
499,1098,ocean acidification
500,1103,ocean acidification in 2003
501,1108,There is a bias in scientific journals towards publishing doomsday stories
502,1109,Rising global temperatures cause sea ice to melt
503,1112,The jet stream forms a boundary between cold north and warm south.
504,1113,Jet stream meanders bring warm air to the North and cold air to the South.
505,1115,extreme events can unfold
506,1116,Severe snowmageddon winters linked to soaring polar temperatures
507,1119,Arctic ice shrinkage linked to climate change
508,1120,Connection between Arctic ice and extreme summer weather
509,1121,Fast Arctic melting raises possibility of worse extreme weather
510,1127,2016 may be declared as hot as 2015 due to El Nino.
511,1130,Record warm years 2015-16 caused by Super El Nino
512,1133,Global temperature drop since mid-year
513,1135,"Mass bleaching event on Great Barrier Reef kills more corals than ever before, destroying over 2/3"
514,1136,Coral bleaching when water temperatures rise
515,1138,Stress from warm ocean water
516,1139,coral bleaching linked to global warming
517,1141,Surprising Antarctic sea ice decline
518,1142,Arctic sea ice decline vs Antarctic sea ice increase
519,1143,"Skeptics point to southern hemisphere ice gain as evidence of no climate change, but scientists attribute it to natural atmospheric variations."
520,1144,Antarctica's ice not increasing
521,1145,Sea ice Arctic Antarctic record lows
522,1146,Arctic/Antarctic warming with less ice
523,1149,Arctic temperatures soaring
524,1150,Water temperatures in Arctic Ocean above average due to less sea ice.
525,1151,"unlike genuine pollutants, CO2 is odorless and colorless."
526,1154,CO2 maintains Earth's habitable temperature
527,1155,Increased CO2 levels causing modest and beneficial warming
528,1156,"Emissions regulations' costs will be punishingly high, providing no benefits."
529,1157,"US farm output in 2013 was 27 times 1948 level, with growing productivity."
530,1160,Feeding 9 billion people with increased CO2
531,1163,Global warming and climate change caused by humans.
532,1164,natural disasters showing no long term change
533,1166,Droughts in Western US compared to ancient mega droughts
534,1167,Recent hurricane activity Gulf of Mexico
535,1169,Sea level rise
536,1170,Are you worried about sea level rise?
537,1171,"Hillary's sea level rise claim in Norfolk, Virginia"
538,1173,Until renewable energy makes up 15-20% of global energy requirements
539,1175,observed warming vs computerized climate models
540,1178,most famous 2010 study by kenchi and webb
541,1180,Rising sea levels reducing land area
542,1181,"Coral breaks down, washing up as sand on low-lying islands."
543,1183,Residents flee atolls sinking
544,1186,President Hilda Heine says longtime Marshall Islands residents leave due to climate change threat
545,1188,Policy makers looking at Marshall Islands' resilience
546,1198,Fracking makes American gas cheap
547,1202,discrepancy between model predicted warming and real world observations inspires new respect for natural climate variability
548,1204,UN warned of rising sea levels washing away countries if global warming wasn't checked by 2000
549,1205,Gordon Brown predicted 50 days to save the planet from global warming
550,1211,Climate economists see a positive externality from human influence on climate
551,1212,social cost of carbon negative
552,1216,"avoiding frank discussion about budget deficits, federal debt, school choice, entitlement reform"
553,1219,Global warming speeds up Greenland glacier melting
554,1222,melting Greenland ice sheet's impact on sea levels
555,1223,Ice cap disappearing rapidly
556,1224,Sunny day flooding along East Coast and Gulf Coast
557,1227,These tidal floods
558,1230,Pacific coast sea level rise
559,1235,Ice age sea level drops over 400 feet due to Earth's orbital wobble
560,1237,last sea level high point 125 000 years ago
561,1239,Research shows human civilization 6000 years old
562,1240,Ice-free
563,1243,Central Arctic ice-free
564,1245,There will still be about a million km² of ice in Arctic in summer
565,1246,Arctic summer sea ice cover to hit record low
566,1247,Arctic summer as symbol of global change
567,1251,"Underneath permafrost, methane hydrates"
568,1253,IPCC predicts sea level rise 60-90 cm this century
569,1255,First scientists to show Arctic icecap thinning
570,1256,Arctic to lose its ice
571,1257,ocean warming → more water vapor
572,1259,"Heavy rainfall episodes in NE, Midwest, Upper Great Plains; drought in West, especially California."
573,1260,contrast in precipitation between wet/dry regions and seasons
574,1265,Floods and storms linked to climate change
575,1266,world 1C warmer than pre-industrial times
576,1268,thermal expansion of oceans and melting glaciers caused highest global sea level on record in 2015
577,1269,oceans absorbing most of extra CO2
578,1270,"Alpine glaciers record 36th consecutive year of net ice loss, Greenland ice sheet melts over 50% of its surface"
579,1271,Greenland's ice sheet melting and its impact on sea levels
580,1273,"rapid climate change consequences for humans and species, including droughts causing food shortages in Ethiopia and forest fires in Indonesia."
581,1276,Scientists use climate models with human factors vs. natural factors to study attribution.
582,1279,earlier this month NASA's visualization of Earth getting greener
583,1284,Greening and blunting impacts of greenhouse gas emissions
584,1286,"Arctic greening, US Geological Survey, Alaska, carbon storage."
585,1292,reasonable people recognize positives and negatives in Tory and Labour policies
586,1293,"By 2070s, UN climate panel finds global warming causing 0.2-2% GDP damage"
587,1294,Because CO acts as a fertilizer
588,1296,Global warming making the world greener
589,1299,Recent study: hurricane damages halving due to global warming
590,1300,Yet a new study of climate models shows warming may not lead to increased precipitation.
591,1303,Global warming being a good thing
592,1304,Lord Krebs tells Times to focus on positive climate news.
593,1305,Great Barrier Reef's resilience to climate change
594,1307,"A new study finds human caused global warming causes Great Barrier Reef bleaching, may kill parts by 2030s."
595,1308,Barrier Reef perishing by 2030s
596,1310,it occurred during the warmest year on record in 2015
597,1312,UNESCO World Heritage site under threat from hot ocean temperatures
